DCD,DCn
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
-0.00458,0.01494
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.0002,0.001202
0.000172,0.001746
-7.58e-05,0.002301
-0.000322,0.002866
-0.000569,0.003438
-0.000814,0.004018
-0.00106,0.004603
-0.00131,0.005192
-0.00155,0.005785
-0.00181,0.00635
-0.00207,0.006835
-0.00234,0.007285
-0.00261,0.007693
-0.00289,0.008055
-0.00318,0.008366
-0.00347,0.008621
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
0.000669,0.0006693
